Market Name,Address,Start Date,End Date,Days of Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Open,Close,SNAPEBT,SNAPMATCH,HIP,Latitude,Longitude
Acton-Boxborough Farmers Market,"10-12 Pearl St, Acton, MA 01720",6/10/2018,10/21/2018,Sunday,0,0,0,0,0,0,1,10:00 AM,1:00 PM,1,1,0,42.475238,-71.473694
Arlington Farmers Market,"Russell Common Parking Lot, Winslow St @ Mystic St., Arlington, Ma",6/13/2018,10/31/2018,Wednesday,0,0,1,0,0,0,0,2:00 PM,6:30 PM,0,0,0,42.415969,-71.151248
Ashfield Farmers Market,"Town Common, Main St. Ashfield, MA 01330",5/12/2018,10/27/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,1:00 PM,1,0,1,42.525876,-72.790707
Ashland Farmers Market,125 Front St,6/9/2018,10/6/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,1:00 PM,1,1,1,42.260281,-71.462455
Ashmont Farmers Market,"1900 Dorchester Ave. Dorchester, MA 02124",6/29/2018,10/19/2018,Friday,0,0,0,0,1,0,0,3:00 PM,7:00 PM,1,0,1,42.284725,-71.064504
Barre Farmers Market,"Barre Common Barre, MA 01005",5/12/2018,10/20/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,12:00 PM,1,0,0,0,0
Belchertown Farmers and Artisans Market,Belchertown Town Common,6/3/2018,10/7/2018,Sunday,0,0,0,0,0,0,1,10:00 AM,2:00 PM,1,0,1,42.279639,-72.402381
Belmont Farmers Market,"Belmont Center Municipal Parking lot, intersection of Cross St & Channing Rd, Belmont MA 02478",6/7/2018,10/25/2018,Thursday,0,0,0,1,0,0,0,2:00 PM,6:30 PM,1,1,1,42.396582,-71.173788
Berkshire Area Farmers Market,"Berkshire Mall  old State Road, Lanesborough Ma",5/5/2018,11/17/2018,"Wednesday, Saturday",0,0,1,0,0,1,0,"8:00 AM, -","2:00 PM, -",0,,0,42.49285,-73.206615
Billerica Farmers Market,"25 Concord Road, Billerica, MA 01821",6/25/2018,10/1/2018,Monday,1,0,0,0,0,0,0,3:00 PM,7:00 PM,1,1,0,42.557697,-71.269999
Braintree Farmers Market,"1 JFK Memorial Drive Braintree, MA 02184",6/16/2018,11/17/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,1:00 PM,1,0,1,42.206261,-71.005083
Brockton Farmers Market,"45 School St, Brockton, MA 02301",7/13/2018,10/26/2018,Friday,0,0,0,0,1,0,0,10:00 AM,2:00 PM,1,0,1,42.082563,-71.018298
Brookline Farmers Market,"Centre Street West Parking Lot in Coolidge Corner, Brookline, MA  02446",6/7/2018,11/15/2018,Thursday,0,0,0,1,0,0,0,1:30 PM,6:30 PM,1,1,1,42.342416,-71.124291
Cambridge Winter Farmers Market,"5 Callender Street, Cambridge MA 02139",1/6/2018,4/7/2018,Saturday,0,0,0,0,0,1,0,10:00 AM,2:00 PM,1,1,1,42.365666,-71.111215
Cape Ann Farmers Market,"24 Hough Avenue Gloucester MA, 01930",6/7/2018,10/11/2018,Thursday,0,0,0,1,0,0,0,3:00 PM,6:30 PM,1,1,1,42.603510-70.680072,
Charles River Farmers Market Association,"1 Bennett Street, Cambridge, MA 02138",5/27/2018,11/18/2018,"Friday, Sunday",0,0,0,0,1,0,1,"1:00 PM, 10:00AM","6:00 PM, 3:00 PM",0,,0,42.372293,-71.12283
Chelmsford Farmers Market,"7 Academy St Chelmsford, MA 01824",6/16/2018,9/22/2018,Saturday,0,0,0,0,0,1,0,10:00 AM,2:00 PM,0,0,0,42.598475,-71.353229
Chicopee Farmers Market,"Chicopee Street, Chicopee Under I-391 overpass at the ""Y"" in Willimansett",7/11/2018,9/19/2018,Wednesday,0,0,1,0,0,0,0,10:30 AM,2:30 PM,1,0,1,0,0
Dartmouth Farmers Market,"St. Mary's Parish Center, 789 Dartmouth St., Dartmouth, MA 02748",6/1/2018,10/26/2018,Friday,0,0,0,0,1,0,0,1:00 PM,6:00 PM,1,,1,41.592641,-70.943458
Downtown Pittsfield Farmers Market (Indoor),"Zion Lutheran Church, 74 1st St, Pittsfield, MA 01201",11/1/2018,4/30/2019,"Second Saturday of the Month, Nov-April",0,0,0,0,0,1,0,9:00 AM,1:00 PM,1,1,1,42.450503,-73.250038
Downtown Pittsfield Farmers Market (Outdoor),"The Common, 1st St, Pittsfield, MA 01201",5/12/2018,10/13/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,1:00 PM,1,1,1,42.450959,-73.249469
Falmouth Farmers Market,"Marina Park, 180 Scranton Ave, Falmouth, MA 02540",5/24/2018,10/11/2018,Thursday,0,0,0,1,0,0,0,12:00 PM,6:00 PM,1,1,1,41.548832,-70.603456
Farmers Market at Forest Park,"220 Trafton Rd., Springfield,MA. Cyr Arena parking lot",5/1/2018,10/30/2018,Tuesday,0,1,0,0,0,0,0,12:30 PM,6:00 PM,1,0,1,42.081055,-72.56043
Fitchburg Farmers Market,"Upper Common, Fitchburg, MA 01420",6/14/2018,10/25/2018,Thursday,0,0,0,1,0,0,0,4:00 PM,7:00 PM,1,0,1,42.586286,-71.805332
Framingham Farmers Market,"2 Oak St, Framingham, MA 01701",6/14/2018,10/11/2018,Thursday,0,0,0,1,0,0,0,12:00 PM,5:30 PM,1,1,1,42.301428,-71.434498
Franklin Farmers Market,"Franklin Town Common Main and High Street, Franklin, MA 02038",6/1/2018,10/26/2018,Friday,0,0,0,0,1,0,0,12:00 PM,6:00 PM,0,0,0,42.087641,-71.400598
Gardner Farmers Market,Monument Park Park St.,5/10/2018,10/25/2018,Thursday,0,0,0,1,0,0,0,8:30 AM,12:30 PM,0,,0,0,0
Great Barrington Farmers Market,"18 Church Street, Great Barrington MA 01230",5/12/2018,10/27/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,1:00 PM,1,1,1,42.194479,-73.361265
Hingham Farmers Market,"44 Spring St.. Hingham, MA 02043",5/5/2018,11/17/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,1:00 PM,1,1,0,42.232111,-70.876689
Holden Farmers Market,"1187 main st, holden,ma 01520",5/1/2018,10/30/2018,Tuesday,0,1,0,0,0,0,0,3:00 PM,6:30 PM,0,,0,42.350353,-71.862059
Hopkinton Farmers Market,Hopkinton Common (corner of Marathon Way and Ash St.),6/10/2018,10/14/2018,Sunday,0,0,0,0,0,0,1,1:00 PM,5:00 PM,1,1,1,0,0
Kendall Center Farmers Market,"In front of the Marriott on Main St, near the Kendall T",5/16/2018,10/31/2018,"Monday, Wednesday",1,0,1,0,0,0,0,"11:00 AM, -","6:00 PM, -",1,0,0,0,0
Kendall Square Farmers Market,"500 Broad Canal Street, Cambridge, MA 02142",6/1/2018,9/30/2018,Thursday,0,0,0,1,0,0,0,11:00 AM,2:00 PM,0,,0,42.362978,-71.082085
Kingston Farmer Market,101 Kingston Collection Way,6/3/2018,10/7/2018,1st Sunday of Every Month,0,0,0,0,0,0,1,10:00 AM,2:00 PM,1,,0,41.970604,-70.714088
Lenox Farmers Market,St. Ann's Parish; 134 Main St Lenox Ma 01240,5/25/2018,9/21/2018,Friday,0,0,0,0,1,0,0,12:30 PM,4:30 PM,1,0,1,42.361184,-73.282287
Lexington Farmers Market,"Fletcher Ave & Mass Ave., Lexington",5/29/2018,10/30/2018,Tuesday,0,1,0,0,0,0,0,2:00 PM,6:30 PM,1,1,1,0,0
Marblehead Farmers Market,"217 Pleasant St, Marblehead,MA 01945",5/26/2018,11/17/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,12:00 PM,1,0,1,42.498144,-70.862113
Mattapan Square Farmers Market,City Municipal Parking,7/14/2018,10/13/2018,Saturday,0,0,0,0,0,1,0,10:00 AM,1:00 PM,1,,1,0,0
Maynard Farmers Market,"Main Street, Mill Pond Parking Lot, Maynard, MA 01754",6/30/2018,9/29/2018,Saturday,0,0,0,0,0,1,0,9:00 AM,1:00 PM,0,0,0,0,0
Medford Farmers Market,"Condon Shell, 2501 Mystic Valley Parkway, Medford, MA 02155",6/7/2018,10/25/2018,Thursday,0,0,0,1,0,0,0,3:00 PM,7:00 PM,1,1,1,42.41866,-71.115418
Melrose Farmers Market,"Bowden Park on W. Emerson at the Cedar Park train station, Melrose, MA",6/7/2018,10/25/2018,Thursday,0,0,0,1,0,0,0,2:00 PM,7:00 PM,1,1,1,0,0
Milton Farmers Market,"Wharf Park, Milton Village, Milton, MA 02186",6/14/2018,10/25/2018,Thursday,0,0,0,1,0,0,0,1:00 PM,6:00 PM,1,0,1,0,0
Newburyport Farmers Market,"50 Water St, Newburyport MA 01950",5/6/2018,4/28/2019,Sunday,0,0,0,0,0,0,1,9:00 AM,1:00 PM,1,0,1,42.810622,-70.866269
Newton Farmers Market,"Cold Spring Park, 1200 Beacon St., Newton Highlands",7/10/2018,10/23/2018,Tuesday,0,1,0,0,0,0,0,1:30 PM,6:00 PM,1,0,1,0,0
Orleans Summer Farmers Market,"21 Old Colony Way, Orleans MA 02653",5/12/2018,8/31/2018,Saturday (May to Aug),0,0,0,0,0,1,0,8:00 AM,12:00 PM,1,1,1,41.786503,-69.9951
